window_id,window_start,window_end,window_midpoint,window_length
1,2002-01-01,2004-12-31,2003-07-01,36
2,2003-01-01,2005-12-31,2004-07-01,36
3,2004-01-01,2006-12-31,2005-07-01,36
4,2005-01-01,2007-12-31,2006-07-01,36
5,2006-01-01,2008-12-31,2007-07-01,36
6,2007-01-01,2009-12-31,2008-07-01,36
7,2008-01-01,2010-12-31,2009-07-01,36
8,2009-01-01,2011-12-31,2010-07-01,36
9,2010-01-01,2012-12-31,2011-07-01,36
10,2011-01-01,2013-12-31,2012-07-01,36
11,2012-01-01,2014-12-31,2013-07-01,36
12,2013-01-01,2015-12-31,2014-07-01,36
13,2014-01-01,2016-12-31,2015-07-01,36
14,2015-01-01,2017-12-31,2016-07-01,36
15,2016-01-01,2018-12-31,2017-07-01,36
16,2017-01-01,2019-12-31,2018-07-01,36
17,2018-01-01,2020-12-31,2019-07-01,36
18,2019-01-01,2021-12-31,2020-07-01,36
19,2020-01-01,2022-12-31,2021-07-01,36
20,2021-01-01,2023-12-31,2022-07-01,36
21,2022-01-01,2024-12-31,2023-07-01,36
22,2023-01-01,2025-12-31,2024-07-01,36
1,2002-01-01,2006-12-31,2004-07-01,60
2,2003-01-01,2007-12-31,2005-07-01,60
3,2004-01-01,2008-12-31,2006-07-01,60
4,2005-01-01,2009-12-31,2007-07-01,60
5,2006-01-01,2010-12-31,2008-07-01,60
6,2007-01-01,2011-12-31,2009-07-01,60
7,2008-01-01,2012-12-31,2010-07-01,60
8,2009-01-01,2013-12-31,2011-07-01,60
9,2010-01-01,2014-12-31,2012-07-01,60
10,2011-01-01,2015-12-31,2013-07-01,60
11,2012-01-01,2016-12-31,2014-07-01,60
12,2013-01-01,2017-12-31,2015-07-01,60
13,2014-01-01,2018-12-31,2016-07-01,60
14,2015-01-01,2019-12-31,2017-07-01,60
15,2016-01-01,2020-12-31,2018-07-01,60
16,2017-01-01,2021-12-31,2019-07-01,60
17,2018-01-01,2022-12-31,2020-07-01,60
18,2019-01-01,2023-12-31,2021-07-01,60
19,2020-01-01,2024-12-31,2022-07-01,60
20,2021-01-01,2025-12-31,2023-07-01,60
1,2002-01-01,2008-12-31,2005-07-01,84
2,2003-01-01,2009-12-31,2006-07-01,84
3,2004-01-01,2010-12-31,2007-07-01,84
4,2005-01-01,2011-12-31,2008-07-01,84
5,2006-01-01,2012-12-31,2009-07-01,84
6,2007-01-01,2013-12-31,2010-07-01,84
7,2008-01-01,2014-12-31,2011-07-01,84
8,2009-01-01,2015-12-31,2012-07-01,84
9,2010-01-01,2016-12-31,2013-07-01,84
10,2011-01-01,2017-12-31,2014-07-01,84
11,2012-01-01,2018-12-31,2015-07-01,84
12,2013-01-01,2019-12-31,2016-07-01,84
13,2014-01-01,2020-12-31,2017-07-01,84
14,2015-01-01,2021-12-31,2018-07-01,84
15,2016-01-01,2022-12-31,2019-07-01,84
16,2017-01-01,2023-12-31,2020-07-01,84
17,2018-01-01,2024-12-31,2021-07-01,84
18,2019-01-01,2025-12-31,2022-07-01,84
